"","t","x","Y"
"1",0,0.1,0.0131050075442492
"2",0,0.2,0.020977514520423
"3",0,0.3,0.0267422916138707
"4",0,0.4,0.0310329370374921
"5",0,0.5,0.0342803251375856
"6",0,0.6,0.0367800117296494
"7",0,0.7,0.0387366472864804
"8",0,0.8,0.0402933807695871
"9",0,0.9,0.0415514304536455
"10",0,1,0.0425831869716434
"11",0,1.1,0.0434410429205715
"12",0,1.2,0.044163384759081
"13",0,1.3,0.0447786899901034
"14",0,1.4,0.0453083516426705
"15",0,1.5,0.0457686422864467
"16",0,1.6,0.0461720922004712
"17",0,1.7,0.0465284656767386
"18",0,1.8,0.0468454594674733
"19",0,1.9,0.0471292075095891
"20",0,2,0.0473846494048962
"21",0,2.1,0.0476158022144031
"22",0,2.2,0.0478259630029977
"23",0,2.3,0.04801786131719
"24",0,2.4,0.0481937751200749
"25",0,2.5,0.0483556198001777
"26",0,2.6,0.0485050171521522
"27",0,2.7,0.0486433493209715
"28",0,2.8,0.0487718013538342
"29",0,2.9,0.048891395043857
"30",0,3,0.0490030160597707
"31",0,3.1,0.0491074358560673
"32",0,3.2,0.0492053294929714
"33",0,3.3,0.0492972902267285
"34",0,3.4,0.0493838415310544
"35",0,3.5,0.0494654470611639
"36",0,3.6,0.0495425189590797
"37",0,3.7,0.0496154248132576
"38",0,3.8,0.0496844935199681
"39",0,3.9,0.0497500202432988
"40",0,4,0.0498122706313701
"41",0,4.1,0.0498714844156663
"42",0,4.2,0.0499278784962479
"43",0,4.3,0.0499816495965095
"44",0,4.4,0.0500329765559491
"45",0,4.5,0.0500820223172483
"46",0,4.6,0.0501289356541761
"47",0,4.7,0.050173852678913
"48",0,4.8,0.0502168981609633
"49",0,4.9,0.0502581866845689
"50",0,5,0.0502978236672339
"51",0,5.1,0.0503359062584239
"52",0,5.2,0.0503725241345694
"53",0,5.3,0.0504077602040685
"54",0,5.4,0.050441691233957
"55",0,5.5,0.0504743884082133
"56",0,5.6,0.0505059178262464
"57",0,5.7,0.05053634094891
"58",0,5.8,0.0505657149983783
"59",0,5.9,0.0505940933173561
"60",0,6,0.0506215256923681
"61",0,6.1,0.0506480586452486
"62",0,6.2,0.0506737356964232
"63",0,6.3,0.0506985976031161
"64",0,6.4,0.0507226825752248
"65",0,6.5,0.0507460264712687
"66",0,6.6,0.0507686629765233
"67",0,6.7,0.0507906237652032
"68",0,6.8,0.0508119386483337
"69",0,6.9,0.0508326357087647
"70",0,7,0.050852741424612
"71",0,7.1,0.0508722807822664
"72",0,7.2,0.050891277379986
"73",0,7.3,0.0509097535229735
"74",0,7.4,0.0509277303107452
"75",0,7.5,0.0509452277175096
"76",0,7.6,0.0509622646662012
"77",0,7.7,0.050978859096745
"78",0,7.8,0.0509950280290698
"79",0,7.9,0.0510107876213357
"80",0,8,0.0510261532237949
"81",0,8.1,0.0510411394286626
"82",0,8.2,0.0510557601163383
"83",0,8.3,0.051070028498287
"84",0,8.4,0.0510839571568559
"85",0,8.5,0.051097558082282
"86",0,8.6,0.0511108427071168
"87",0,8.7,0.0511238219382773
"88",0,8.8,0.0511365061869113
"89",0,8.9,0.0511489053962503
"90",0,9,0.0511610290676039
"91",0,9.1,0.051172886284642
"92",0,9.2,0.0511844857360924
"93",0,9.3,0.0511958357369739
"94",0,9.4,0.051206944248475
"95",0,9.5,0.0512178188965761
"96",0,9.6,0.0512284669895083
"97",0,9.7,0.0512388955341327
"98",0,9.8,0.0512491112513158
"99",0,9.9,0.051259120590374
"100",0,10,0.051268929742651
"101",0.0833333333333333,0.1,0.00598074162492807
"102",0.0833333333333333,0.2,0.00984394004534761
"103",0.0833333333333333,0.3,0.0133218461113831
"104",0.0833333333333333,0.4,0.0164276419150611
"105",0.0833333333333333,0.5,0.0191861205715799
"106",0.0833333333333333,0.6,0.0216277162276178
"107",0.0833333333333333,0.7,0.0237847174579791
"108",0.0833333333333333,0.8,0.0256889528244992
"109",0.0833333333333333,0.9,0.0273704564321288
"110",0.0833333333333333,1,0.0288567750272949
"111",0.0833333333333333,1.1,0.0301726856502597
"112",0.0833333333333333,1.2,0.0313401676721924
"113",0.0833333333333333,1.3,0.0323785248781518
"114",0.0833333333333333,1.4,0.0333045889492919
"115",0.0833333333333333,1.5,0.0341329600997516
"116",0.0833333333333333,1.6,0.034876257159799
"117",0.0833333333333333,1.7,0.0355453604786074
"118",0.0833333333333333,1.8,0.0361496383413752
"119",0.0833333333333333,1.9,0.0366971523419382
"120",0.0833333333333333,2,0.0371948401501346
"121",0.0833333333333333,2.1,0.037648675936584
"122",0.0833333333333333,2.2,0.0380638097621307
"123",0.0833333333333333,2.3,0.0384446877764019
"124",0.0833333333333333,2.4,0.0387951552843828
"125",0.0833333333333333,2.5,0.0391185447559145
"126",0.0833333333333333,2.6,0.039417750753272
"127",0.0833333333333333,2.7,0.0396952935905457
"128",0.0833333333333333,2.8,0.0399533733500514
"129",0.0833333333333333,2.9,0.0401939156868878
"130",0.0833333333333333,3,0.0404186106657665
"131",0.0833333333333333,3.1,0.0406289457012985
"132",0.0833333333333333,3.2,0.0408262335173036
"133",0.0833333333333333,3.3,0.041011635903349
"134",0.0833333333333333,3.4,0.0411861839271869
"135",0.0833333333333333,3.5,0.0413507951588331
"136",0.0833333333333333,3.6,0.0415062883741095
"137",0.0833333333333333,3.7,0.0416533961308489
"138",0.0833333333333333,3.8,0.0417927755479097
"139",0.0833333333333333,3.9,0.0419250175640756
"140",0.0833333333333333,4,0.0420506549093613
"141",0.0833333333333333,4.1,0.0421701689839125
